product_id,parent_sku,title_len,title
44957816467,4902111780009,93,Dove Creamy Body Scrub Tube 50g | Gentle Exfoliating & Moisturizing Scrub | Direct From Japan
26394465316,,103,OMI Menturm Deepner Lip Balm 2.3g Fragrance Free & Menthol UV SPF20 PA++ Moisturizing Direct From Japan
47807820140,,95,Kracie ICHIKAMI Moisturizing Care Shampoo / Conditioner For Dry & Frizzy Hair Direct From Japan
44429552585,4533213678361,95,Himecoto White Underarm Princess Whitening Peeling Cream 18g For Dark Armpits Direct From Japan
27379413475,,100,&honey Mato Make Stick 4.0 Super Hold / Natural Keep 9g Hair Styling Ahoge Mascara Direct From Japan
26209113735,,96,THERMOS DSD-704 / DSD-1104W / DJS-700 / DJS-980 Fresh Stainless Steel Lunch Boxes Food Container
48405813303,,95,ANESSA Perfect UV Brush-On Powder SPF50+ PA++++ Portable Sunscreen Powder w/Brush Made In Japan
29735446488,,100,Anessa Perfect UV Sunscreen Milk/Gel/ Mild Milk/ Mineral/ Brightening/ Day Night Serum SPF50+ PA++++
28030377111,,104,Anessa Brightening UV Sunscreen Gel 40g / 90g SPF50+ PA++++ Tone Up 【2026 New Package 】Direct From Japan
43555814601,,141,SMISKI Blind Box 1pcs Random Style | Hippers Sunday Bath Birthday Bed Museum Exercising Yoga Cheer Living Moving Toilet Dressing Work Series1
45757685199,4901416183980,100,Club Suppin UV Shield Pact SPF50+ PA+++ UV Cream Face Powder Sunscreen Oil Control Direct From Japan
42112115393,,100,&honey Organic Hair Oil / Hair Milk For Hiar Care Super Moisturizing Direct From Japan Made In Japan
40778990956,,95,KAO Blaune Creamy Foam Color | Foam Hair Dye | Hair Color For Gray Coverage | Direct From Japan
28720338408,PELICAN-1211-3,95,PELICAN SOAP Aromatic Soap Persimmon 100g | Deodorant Soap | Body Odor Care | Direct from Japan
55607562789,,94,KOSE SEKKISEI Bright BB Essence 30g Hydrating 6-in-1 BB Cream​ SPF50+ PA++++ Direct From Japan
49057581402,,118,Earth Placenta C Jelly & Collagen C Jelly 31 Sticks | Moisturizing Beauty Jelly 31 Days Supplement | Direct From Japan
55507438190,4904651178780,101,Dariya Salon De Pro Hair Color Quick Dye Cream For Gray Hair 40g+40g Fragrance Free Direct from Japan
